TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,36,24.1,62,29.91,10,SW,5.8,-,N/A,,Clear,230,20/01/2014 05:51
1:51 AM,33.1,24.1,70,29.89,10,SW,9.2,-,N/A,,Clear,230,20/01/2014 06:51
2:51 AM,34,25,N/A,29.89,10,SW,9.2,-,N/A,,Clear,230,20/01/2014 07:51
3:51 AM,35.1,25,67,29.89,10,WSW,6.9,-,N/A,,Clear,240,20/01/2014 08:51
4:51 AM,33.1,25,67,29.88,10,SW,6.9,-,N/A,,Clear,220,20/01/2014 09:51
5:51 AM,32,25,75,29.88,10,SW,9.2,-,N/A,,Clear,230,20/01/2014 10:51
6:51 AM,30,24.1,79,29.88,10,SW,6.9,-,N/A,,Clear,230,20/01/2014 11:51
7:51 AM,32,25,75,29.89,10,WSW,8.1,-,N/A,,Partly Cloudy,240,20/01/2014 12:51
8:51 AM,37,27,67,29.89,10,SW,11.5,-,N/A,,Partly Cloudy,230,20/01/2014 13:51
9:51 AM,42.1,27,55,29.88,10,SW,11.5,-,N/A,,Partly Cloudy,220,20/01/2014 14:51
10:51 AM,48,28,46,29.88,10,SW,10.4,-,N/A,,Partly Cloudy,220,20/01/2014 15:51
11:51 AM,53.1,27,37,29.84,10,SW,10.4,-,N/A,,Partly Cloudy,230,20/01/2014 16:51
12:51 PM,57.9,26.1,30,29.81,10,WSW,12.7,-,N/A,,Partly Cloudy,250,20/01/2014 17:51
1:51 PM,61,27,27,29.79,10,SW,17.3,-,N/A,,Partly Cloudy,230,20/01/2014 18:51
2:51 PM,63,25,24,29.78,10,WSW,12.7,20.7,N/A,,Partly Cloudy,250,20/01/2014 19:51
3:51 PM,63,25,24,29.8,10,SW,12.7,-,N/A,,Partly Cloudy,230,20/01/2014 20:51
4:51 PM,60.1,26.1,27,29.8,10,WSW,6.9,-,N/A,,Partly Cloudy,240,20/01/2014 21:51
5:51 PM,52,25,35,29.82,10,SW,8.1,-,N/A,,Partly Cloudy,220,20/01/2014 22:51
6:51 PM,51.1,26.1,38,29.83,10,SW,6.9,-,N/A,,Partly Cloudy,230,20/01/2014 23:51
7:51 PM,48.9,26.1,41,29.85,10,SW,6.9,-,N/A,,Partly Cloudy,220,21/01/2014 00:51
8:51 PM,48,25,41,29.86,10,WSW,5.8,-,N/A,,Partly Cloudy,240,21/01/2014 01:51
9:51 PM,45,26.1,48,29.86,10,Calm,Calm,-,N/A,,Clear,0,21/01/2014 02:51
10:51 PM,43,27,53,29.85,10,Calm,Calm,-,N/A,,Clear,0,21/01/2014 03:51
11:51 PM,39.9,27,60,29.83,10,Calm,Calm,-,N/A,,Clear,0,21/01/2014 04:51
